ops-master-2.opensearch.local  | [2022-05-30T14:56:55,298][INFO ][o.o.t.NettyAllocator     ] [ops-master-2.opensearch.local] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={opensearch.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.notifyListeners(DefaultPromise.java:491) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.setValue0(DefaultPromise.java:616) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.setFailure0(DefaultPromise.java:609) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.tryFailure(DefaultPromise.java:117) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe$1.run(AbstractNioChannel.java:262) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.PromiseTask.runTask(PromiseTask.java:98) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.ScheduledFutureTask.run(ScheduledFutureTask.java:170) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.AbstractEventExecutor.safeExecute(AbstractEventExecutor.java:164) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.SingleThreadEventExecutor.runAllTasks(SingleThreadEventExecutor.java:469) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:503) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:986) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74) ~[?:?]
ops-master-2.opensearch.local  |        at java.lang.Thread.run(Thread.java:833) [?:?]
ops-master-2.opensearch.local  | Caused by: io.netty.channel.ConnectTimeoutException: connection timed out: 172.18.0.2/172.18.0.2:9300
ops-master-2.opensearch.local  |        at io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe$1.run(AbstractNioChannel.java:261) ~[?:?]
ops-master-2.opensearch.local  |        ... 8 more
ops-master-2.opensearch.local  | [2022-05-30T14:57:36,668][WARN ][o.o.c.c.ClusterFormationFailureHelper] [ops-master-2.opensearch.local] cluster-manager not discovered yet, this node has not previously joined a bootstrapped cluster, and [cluster.initial_cluster_manager_nodes] is empty on this node: have discovered [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}]; discovery will continue using [172.31.6.145:9300] from hosts providers and [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] from last-known cluster state; node term 0, last-accepted version 0 in term 0
ops-master-2.opensearch.local  | [2022-05-30T14:57:46,669][WARN ][o.o.c.c.ClusterFormationFailureHelper] [ops-master-2.opensearch.local] cluster-manager not discovered yet, this node has not previously joined a bootstrapped cluster, and [cluster.initial_cluster_manager_nodes] is empty on this node: have discovered [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}]; discovery will continue using [172.31.6.145:9300] from hosts providers and [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] from last-known cluster state; node term 0, last-accepted version 0 in term 0
